Gender;AgeGroup;ProductCategory;Column1;Profit;TotalProfit;RunningProfit;RunningPercent
Male;20-25;Beauty;Male 20-25 Beauty;15272,35;421368,95;15272,35;3,62
Male;Pensioners;Electronics;Male Pensioners Electronics;13898,15;421368,95;29170,5;6,92
Male;50-55;Electronics;Male 50-55 Electronics;13051,7;421368,95;42222,2;10,02
Male;40-45;Electronics;Male 40-45 Electronics;12230,7;421368,95;54452,9;12,92
Male;25-30;Clothing;Male 25-30 Clothing;11897,75;421368,95;66350,65;15,75
Male;30-35;Clothing;Male 30-35 Clothing;11638,6;421368,95;77989,25;18,51
Male;55-60;Clothing;Male 55-60 Clothing;10888,95;421368,95;88878,2;21,09
Female;45-50;Clothing;Female 45-50 Clothing;10683,15;421368,95;99561,35;23,63
Female;50-55;Electronics;Female 50-55 Electronics;10488;421368,95;110049,35;26,12
Female;35-40;Beauty;Female 35-40 Beauty;10316;421368,95;120365,35;28,57
Female;40-45;Clothing;Female 40-45 Clothing;9985,9;421368,95;130351,25;30,94
Male;20-25;Clothing;Male 20-25 Clothing;9886,95;421368,95;140238,2;33,28
Male;35-40;Electronics;Male 35-40 Electronics;9685,5;421368,95;149923,7;35,58
Male;45-50;Beauty;Male 45-50 Beauty;9613,8;421368,95;159537,5;37,86
Female;55-60;Beauty;Female 55-60 Beauty;9582,3;421368,95;169119,8;40,14
Female;50-55;Beauty;Female 50-55 Beauty;9031,75;421368,95;178151,55;42,28
Male;50-55;Clothing;Male 50-55 Clothing;8995,25;421368,95;187146,8;44,41
Female;20-25;Electronics;Female 20-25 Electronics;8901,8;421368,95;196048,6;46,53
Female;30-35;Beauty;Female 30-35 Beauty;8766,45;421368,95;204815,05;48,61
Female;25-30;Clothing;Female 25-30 Clothing;8410,55;421368,95;213225,6;50,6
Female;45-50;Beauty;Female 45-50 Beauty;7722,8;421368,95;220948,4;52,44
Female;40-45;Electronics;Female 40-45 Electronics;7652,1;421368,95;228600,5;54,25
Female;25-30;Beauty;Female 25-30 Beauty;7506,9;421368,95;236107,4;56,03
Male;35-40;Beauty;Male 35-40 Beauty;7041,2;421368,95;243148,6;57,7
Female;30-35;Electronics;Female 30-35 Electronics;7041,05;421368,95;250189,65;59,38
Male;40-45;Clothing;Male 40-45 Clothing;6816,6;421368,95;257006,25;60,99
Female;35-40;Electronics;Female 35-40 Electronics;6789,1;421368,95;263795,35;62,6
Male;35-40;Clothing;Male 35-40 Clothing;6626;421368,95;270421,35;64,18
Female;40-45;Beauty;Female 40-45 Beauty;6460,15;421368,95;276881,5;65,71
Male;30-35;Beauty;Male 30-35 Beauty;6260,3;421368,95;283141,8;67,2
Male;55-60;Electronics;Male 55-60 Electronics;6134,1;421368,95;289275,9;68,65
Male;20-25;Electronics;Male 20-25 Electronics;6074,2;421368,95;295350,1;70,09
Female;35-40;Clothing;Female 35-40 Clothing;6060,1;421368,95;301410,2;71,53
Female;Pensioners;Electronics;Female Pensioners Electronics;5992;421368,95;307402,2;72,95
Female;20-25;Beauty;Female 20-25 Beauty;5983,2;421368,95;313385,4;74,37
Female;55-60;Electronics;Female 55-60 Electronics;5951;421368,95;319336,4;75,79
Male;50-55;Beauty;Male 50-55 Beauty;5936,65;421368,95;325273,05;77,19
Female;55-60;Clothing;Female 55-60 Clothing;5629,35;421368,95;330902,4;78,53
Male;45-50;Clothing;Male 45-50 Clothing;5464,2;421368,95;336366,6;79,83
Male;25-30;Beauty;Male 25-30 Beauty;5446,7;421368,95;341813,3;81,12
Female;20-25;Clothing;Female 20-25 Clothing;5438,85;421368,95;347252,15;82,41
Female;Pensioners;Clothing;Female Pensioners Clothing;5425,95;421368,95;352678,1;83,7
Male;45-50;Electronics;Male 45-50 Electronics;4942,2;421368,95;357620,3;84,87
Male;55-60;Beauty;Male 55-60 Beauty;4921,8;421368,95;362542,1;86,04
Female;30-35;Clothing;Female 30-35 Clothing;4822,4;421368,95;367364,5;87,18
Male;25-30;Electronics;Male 25-30 Electronics;4609,65;421368,95;371974,15;88,28
Male;15-20;Beauty;Male 15-20 Beauty;4564,65;421368,95;376538,8;89,36
Female;45-50;Electronics;Female 45-50 Electronics;4382,75;421368,95;380921,55;90,4
Female;15-20;Clothing;Female 15-20 Clothing;4208;421368,95;385129,55;91,4
Male;30-35;Electronics;Male 30-35 Electronics;4154;421368,95;389283,55;92,39
Male;40-45;Beauty;Male 40-45 Beauty;3983,4;421368,95;393266,95;93,33
Male;Pensioners;Beauty;Male Pensioners Beauty;3928,3;421368,95;397195,25;94,26
Female;15-20;Beauty;Female 15-20 Beauty;3915,9;421368,95;401111,15;95,19
Male;Pensioners;Clothing;Male Pensioners Clothing;3860,75;421368,95;404971,9;96,11
Female;15-20;Electronics;Female 15-20 Electronics;3472,3;421368,95;408444,2;96,93
Male;15-20;Clothing;Male 15-20 Clothing;3403,9;421368,95;411848,1;97,74
Female;50-55;Clothing;Female 50-55 Clothing;3093,1;421368,95;414941,2;98,47
Male;15-20;Electronics;Male 15-20 Electronics;2737,15;421368,95;417678,35;99,12
Female;25-30;Electronics;Female 25-30 Electronics;2503,4;421368,95;420181,75;99,72
Female;Pensioners;Beauty;Female Pensioners Beauty;1187,2;421368,95;421368,95;100
